onset	duration	valence	arousal	flubber_frequency	flubber_amplitude
505999.5917099817	n/a				1.0
505999.60285404685	n/a				1.0
505999.61402551096	n/a				1.0
505999.62507038005	n/a				1.0
505999.63642903685	n/a				1.0
505999.6473367113	n/a				1.0
505999.65841547906	n/a				1.0
505999.66950374644	n/a				1.0
505999.6806854102	n/a				1.0
505999.6918023765	n/a				1.0
505999.7028305462	n/a				1.0
505999.71391951357	n/a				1.0
505999.7251281763	n/a				1.0
505999.73616194574	n/a				1.0
505999.74726581253	n/a				1.0
505999.75828668254	n/a				1.0
505999.76949744514	n/a				1.0
505999.78051061544	n/a				1.0
505999.79166448023	n/a				1.0
505999.80284264416	n/a				1.0
505999.813918712	n/a				1.0
505999.8253406664	n/a				1.0
505999.8361614442	n/a				1.0
505999.84717921435	n/a				1.0
505999.8582442826	n/a				1.0
505999.8694279463	n/a				1.0
505999.88049201464	n/a				1.0
505999.8916597789	n/a				1.0
505999.9026298509	n/a				1.0
505999.913878212	n/a				1.0
505999.92491598136	n/a				1.0
505999.93602414796	n/a				1.0
505999.9472600096	n/a				1.0
505999.9582176821	n/a				1.0
505999.9693851464	n/a				1.0
505999.98059380904	n/a				1.0
505999.99157698057	n/a				1.0
506000.00276894384	n/a				1.0
506000.0137583151	n/a				1.0
506000.0248393828	n/a				1.0
506000.03596434876	n/a				1.0
506000.0472072101	n/a				1.0
506000.05818238185	n/a				1.0
506000.06935054617	n/a				1.0
506000.080427414	n/a				1.0
506000.0915780789	n/a				1.0
506000.10271964426	n/a				1.0
506000.1136617173	n/a				1.0
506000.124843781	n/a				1.0
506000.1359281486	n/a				1.0
506000.14704941463	n/a				1.0
506000.1581162829	n/a				1.0
506000.1693698438	n/a				1.0
506000.1803627149	n/a				1.0
506000.19141418376	n/a				1.0
506000.20264504553	n/a				1.0
506000.2137167136	n/a				1.0
506000.22479578137	n/a				1.0
506000.2360650416	n/a				1.0
506000.2470029149	n/a				1.0
506000.2580807827	n/a				1.0
506000.26917524985	n/a				1.0
506000.2802618173	n/a				1.0
506000.2915238779	n/a				1.0
506000.3025354483	n/a				1.0
506000.31360611634	n/a				1.0
506000.3248963758	n/a				1.0
506000.33582714933	n/a				1.0
506000.3472349043	n/a				1.0
506000.35818327713	n/a				1.0
506000.36915854894	n/a				1.0
506000.3802906146	n/a				1.0
506000.39139788126	n/a				1.0
506000.4025835448	n/a				1.0
506000.4136389135	n/a				1.0
506000.4246650833	n/a				1.0
506000.43575035076	n/a				1.0
506000.44695131376	n/a				1.0
506000.45799898275	n/a				1.0
506000.46921664505	n/a				1.0
506000.48017441755	n/a				1.0
506000.4914592772	n/a				1.0
506000.50238895084	n/a				1.0
506000.5135546152	n/a				1.0
506000.5245975843	n/a				1.0
506000.5357582489	n/a				1.0
506000.5469459125	n/a				1.0
506000.5580006811	n/a				1.0
506000.5694171357	n/a				1.0
506000.58045500505	n/a				1.0
506000.591272183	n/a				1.0
506000.6024141483	n/a				1.0
506000.6134652171	n/a				1.0
506000.62455308455	n/a				1.0
506000.6356516515	n/a				1.0
506000.64695881034	n/a				1.0
506000.65794448176	n/a				1.0
506000.6690211496	n/a				1.0
506000.680184314	n/a				1.0
506000.69166116626	n/a				1.0
506000.7023870478	n/a				1.0
506000.71354521246	n/a				1.0
506000.72460008116	n/a				1.0
506000.73575184605	n/a				1.0
506000.7467496169	n/a				1.0
506000.75808007485	n/a				1.0
506000.76907644584	n/a				1.0
506000.7800988158	n/a				1.0
506000.79118428327	n/a				1.0
506000.8023909461	n/a				1.0
506000.8133851171	n/a				1.0
506000.8244378859	n/a				1.0
506000.83553765283	n/a				1.0
506000.84675811505	n/a				1.0
506000.85777488525	n/a				1.0
506000.86903874576	n/a				1.0
506000.88010751386	n/a				1.0
506000.8911813818	n/a				1.0
506000.9022133514	n/a				1.0
506000.9134467131	n/a				1.0
506000.92452918075	n/a				1.0
506000.93548415333	n/a				1.0
506000.94666041725	n/a				1.0
506000.95783708117	n/a				1.0
506000.96884215187	n/a				1.0
506000.9799534183	n/a				1.0
506000.9911716806	n/a				1.0
506001.0023142459	n/a				1.0
506001.0132928176	n/a				1.0
506001.0243870847	n/a				1.0
506001.0354955513	n/a				1.0
506001.0466040179	n/a				1.0
506001.05779748113	n/a				1.0
506001.06895254593	n/a				1.0
506001.0799245179	n/a				1.0
506001.0914905666	n/a				1.0
506001.10240294086	n/a				1.0
506001.1132285185	n/a				1.0
506001.1243682839	n/a				1.0
506001.13550204947	n/a				1.0
506001.1465796173	n/a				1.0
506001.1577653808	n/a				1.0
506001.1688944467	n/a				1.0
